STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",11/30/2020,0.43,0,0,51,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/1/2020,0,0,0,49,36,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/2/2020,0,0,0,60,38,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/3/2020,0,0,0,50,37,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/4/2020,0,0,0,54,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/5/2020,0,0,0,58,35,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/6/2020,0.03,0,0,54,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/7/2020,0,0,0,52,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/8/2020,0.73,0,0,52,48,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/9/2020,0.17,0,0,50,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/10/2020,0.04,0,0,44,37,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/11/2020,0,0,0,47,37,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/12/2020,0,0,0,45,31,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/13/2020,0.2,0,0,45,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/14/2020,0.1,0,0,50,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/15/2020,0.42,0,0,48,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/16/2020,0.49,0,0,50,45,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/17/2020,0.07,0,0,50,44,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/18/2020,0.19,0,0,52,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/19/2020,0.45,0,0,53,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/20/2020,0.06,0,0,54,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/21/2020,1.64,0.5,0,59,34,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/22/2020,0,0,0,46,34,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/23/2020,0,0,0,43,31,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/24/2020,0,0,0,44,28,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/25/2020,0.34,0,0,49,35,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/26/2020,0.11,0,0,50,42,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/27/2020,0.13,0,0,49,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/28/2020,0,0,0,47,33,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/29/2020,0.16,0,0,41,34,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/30/2020,0.97,0,0,50,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",12/31/2020,0.35,0,0,50,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/1/2021,0.42,0,0,52,45,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/2/2021,1.71,0,0,49,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/3/2021,0.44,0,0,48,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/4/2021,0.39,0,0,51,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/5/2021,0.66,0,0,47,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/6/2021,0.19,0,0,52,39,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/7/2021,0,0,0,52,40,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/8/2021,0.22,0,0,51,37,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/9/2021,0,0,0,48,31,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/10/2021,0.12,0,0,49,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/11/2021,0.97,0,0,47,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/12/2021,2.33,0,0,57,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/13/2021,0.08,0,0,56,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/14/2021,0.05,0,0,58,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/15/2021,0.11,0,0,54,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/16/2021,0,0,0,47,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/17/2021,0.04,0,0,51,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/18/2021,0,0,0,49,36,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/19/2021,0,0,0,45,34,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/20/2021,0,0,0,47,34,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/21/2021,0.04,0,0,46,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/22/2021,0,0,0,46,34,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/23/2021,0,0,0,43,29,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/24/2021,0.18,0,0,41,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/25/2021,0,0,0,44,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/26/2021,0,0,0,43,34,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/27/2021,0.12,0,0,46,37,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/28/2021,0.27,0,0,47,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/29/2021,0.07,0,0,47,40,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/30/2021,0.16,0,0,50,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/31/2021,0.18,0,0,50,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/1/2021,0.88,0,0,50,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/2/2021,0.61,0,0,46,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/3/2021,0.07,0,0,50,40,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/4/2021,0.01,0,0,48,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/5/2021,0,0,0,52,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/6/2021,0,0,0,50,43,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/7/2021,0.04,0,0,48,38,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/8/2021,0,0,0,45,35,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/9/2021,0,0,0,45,31,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/10/2021,0,0,0,43,29,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/11/2021,0,0,0,38,30,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/12/2021,0.14,2.2,0,34,25,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/13/2021,0.57,8.9,5.1,31,25,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/14/2021,0.31,1.3,7.1,38,30,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/15/2021,0.41,0,5.1,44,33,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/16/2021,0,0,0,51,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/17/2021,0,0,0,48,36,,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/18/2021,0.08,0,0,45,37,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/19/2021,0.14,0,0,50,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/20/2021,0,0,0,49,38,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/21/2021,0.32,0,0,51,43,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/22/2021,0.35,0,0,52,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/23/2021,0.36,0,0,49,36,1,,,1,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/24/2021,0.01,0,0,46,32,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/25/2021,0.24,0,0,48,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/26/2021,0.13,0,0,51,36,1,,1,,1,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/27/2021,0,0,0,49,32,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/28/2021,0.01,0,0,53,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/1/2021,0,0,0,57,38,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/2/2021,0,0,0,50,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/3/2021,0,0,0,56,35,,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/4/2021,0.3,0,0,53,37,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/5/2021,0.04,0,0,53,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/6/2021,0.01,0,0,51,41,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/7/2021,0.14,0,0,49,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/8/2021,0,0,0,51,31,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/9/2021,0,0,0,55,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/10/2021,0,0,0,54,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/11/2021,0,0,0,55,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/12/2021,0,0,0,57,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/13/2021,0,0,0,60,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/14/2021,0.29,0,0,47,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/15/2021,0,0,0,48,35,,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/16/2021,0,0,0,52,33,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/17/2021,0,0,0,59,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/18/2021,0.14,0,0,55,39,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/19/2021,0.05,0,0,56,42,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/20/2021,0.25,0,0,52,42,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/21/2021,0.08,0,0,45,41,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/22/2021,0.08,0,0,53,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/23/2021,0,0,0,54,38,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/24/2021,0.35,0,0,52,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/25/2021,0.55,0,0,54,42,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/26/2021,0,0,0,53,41,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/27/2021,0,0,0,54,41,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/28/2021,0.33,0,0,47,39,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/29/2021,0,0,0,51,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/30/2021,0,0,0,54,34,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/31/2021,0,0,0,62,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/1/2021,0,0,0,58,42,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/2/2021,0,0,0,57,42,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/3/2021,0,0,0,63,41,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/4/2021,0,0,0,52,39,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/5/2021,0,0,0,56,35,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/6/2021,0,0,0,60,37,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/7/2021,0.23,0,0,48,42,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/8/2021,0.02,0,0,54,40,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/9/2021,0.01,0,0,50,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/10/2021,0.01,0,0,53,40,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/11/2021,0,0,0,54,34,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/12/2021,0,0,0,59,36,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/13/2021,0,0,0,64,40,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/14/2021,0,0,0,67,39,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/15/2021,0,0,0,75,43,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/16/2021,0,0,0,79,47,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/17/2021,0,0,0,80,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/18/2021,0,0,0,79,50,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/19/2021,0,0,0,72,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/20/2021,0,0,0,72,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/21/2021,0,0,0,73,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/22/2021,0,0,0,62,47,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/23/2021,0.04,0,0,61,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/24/2021,0.51,0,0,50,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/25/2021,0.1,0,0,60,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/26/2021,0,0,0,61,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/27/2021,0,0,0,61,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/28/2021,0,0,0,64,47,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/29/2021,0,0,0,74,49,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/30/2021,0.11,0,0,65,50,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/1/2021,0.03,0,0,61,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/2/2021,0,0,0,62,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/3/2021,0.25,0,0,57,46,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/4/2021,0.03,0,0,63,50,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/5/2021,0,0,0,71,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/6/2021,0,0,0,68,48,,,1,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/7/2021,0,0,0,59,46,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/8/2021,0,0,0,59,44,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/9/2021,0.1,0,0,64,48,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/10/2021,0,0,0,67,44,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/11/2021,0,0,0,70,46,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/12/2021,0,0,0,71,55,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/13/2021,0,0,0,73,48,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/14/2021,0,0,0,75,50,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/15/2021,0,0,0,75,49,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/16/2021,0,0,0,77,50,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/17/2021,0.07,0,0,62,49,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/18/2021,0.07,0,0,61,45,,,1,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/19/2021,0,0,0,58,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/20/2021,0.01,0,0,61,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/21/2021,0,0,0,62,45,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/22/2021,0,0,0,62,47,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/23/2021,0,0,0,64,51,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/24/2021,0.13,0,0,60,49,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/25/2021,0,0,0,63,51,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/26/2021,0,0,0,63,50,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/27/2021,0.43,0,0,60,49,1,,1,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/28/2021,0,0,0,64,49,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/29/2021,0,0,0,72,47,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/30/2021,0,0,0,73,52,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/31/2021,0,0,0,80,54,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/1/2021,0,0,0,86,58,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/2/2021,0,0,0,85,58,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/3/2021,0,0,0,75,56,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/4/2021,0,0,0,68,51,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/5/2021,0,0,0,66,50,,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/6/2021,0.35,0,0,55,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/7/2021,0.11,0,0,63,44,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/8/2021,0.01,0,0,69,49,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/9/2021,0,0,0,68,46,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/10/2021,0,0,0,65,48,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/11/2021,0.46,0,0,59,52,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/12/2021,0.13,0,0,73,50,1,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/13/2021,0.81,0,0,64,57,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/14/2021,0.04,0,0,65,55,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/15/2021,0,0,0,69,53,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/16/2021,0,0,0,72,52,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/17/2021,0,0,0,79,53,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/18/2021,0,0,0,74,56,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/19/2021,0,0,0,76,54,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/20/2021,0,0,0,81,58,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/21/2021,0,0,0,89,61,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/22/2021,0,0,0,76,57,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/23/2021,0,0,0,77,55,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/24/2021,0,0,0,83,55,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/25/2021,0,0,0,87,64,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/26/2021,0,0,0,102,69,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/27/2021,0,0,0,104,73,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/28/2021,0,0,0,108,66,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/29/2021,0,0,0,85,62,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/30/2021,0,0,0,74,60,1,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/1/2021,0,0,0,74,62,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/2/2021,0,0,0,79,58,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/3/2021,0,0,0,82,57,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/4/2021,0,0,0,77,57,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/5/2021,0,0,0,74,56,,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/6/2021,0,0,0,82,54,1,1,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/7/2021,0,0,0,71,56,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/8/2021,0,0,0,73,53,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/9/2021,0,0,0,82,54,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/10/2021,0,0,0,79,57,1,,,,,,1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/11/2021,0,0,0,81,55,,,,,,,
